index	15	24	74	90	146	153	164	258
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	1139.0	2175.0	10338.0	234.0	40.0	1136.0	10494.0	16413.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	1688.0	5738.0	18265.0	3552.0	1415.0	3641.0	6282.0	18032.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	2052.0	12495.0	3574.0	4758.0	26.0	24.0	638.0	844.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	15.0	22.0	11.0	12.0	2748.0	7800.0	27.0	138.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352	7.0	96.0	625.0	49.0	494.0	3011.0	273.0	2838.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	564.0	412.0	1542.0	91.0	3971.0	582.0	2325.0	8626.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	749.0	946.0	5408.0	2274.0	29.0	1255.0	841.0	13273.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	315.0	1760.0	3117.0	336.0	245.0	2907.0	4909.0	1373.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	629.0	1332.0	331.0	279.0	3274.0	5296.0	1792.0	1445.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	117.0	198.0	1844.0	84.0	1307.0	252.0	867.0	9491.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	15.0	126.0	586.0	120.0	873.0	421.0	68.0	4479.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	406.0	3999.0	21.0	2.0	22.0	18.0	65.0	2064.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	23.0	389.0	1091.0	165.0	684.0	1639.0	303.0	1992.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	961.0	1606.0	4426.0	2907.0	26.0	172.0	889.0	6971.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	95.0	203.0	252.0	24.0	3.0	345.0	183.0	5818.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio	1.0	5.0	12.0	7.0	3.0	4106.0	8.0	1731.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	300.0	1696.0	1416.0	430.0	60.0	725.0	2796.0	8373.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	4.0	4051.0	2.0	0.0	1.0	6.0	3.0	9.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	244.0	1557.0	255.0	11.0	8.0	175.0	597.0	2827.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	307.0	2883.0	1735.0	465.0	73.0	3206.0	369.0	1241.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	310.0	1441.0	1083.0	61.0	16.0	1649.0	56.0	244.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	729.0	1910.0	2063.0	93.0	12.0	18.0	316.0	1858.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	99.0	595.0	308.0	28.0	541.0	167.0	161.0	3714.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	73.0	40.0	1286.0	3.0	1.0	40.0	58.0	2551.0
